,image_id,PredictionString
63,05a7460866e0d128b5db471431675483,
64,05dbd765ff84cbb24759b0c135ba4447, 14 0.6613606214523315 0 0 1 1
65,05e951c63e80999f13e6e09e7ec8439a, 14 0.9586743712425232 0 0 1 1
66,05fd4bbf127858eb83ae01cd454d3e2a, 0 0.6593647003173828 790 661 1106 1000
67,065473884bfa339d2e464e5394d56fd6, 0 0.7212486863136292 663 539 919 823
68,069198879ff8140bab6c47c58242a0a4, 0 0.7348788976669312 683 561 961 866
69,0713502741102f3e494fb39bbd9f9571, 14 0.9982576966285706 0 0 1 1
70,071e3d1deecabb75178035e8dbad8b4d, 0 0.6709609031677246 604 479 829 741
71,07229c769cb2c284c1114c6fe7ed3dd6, 14 0.949402928352356 0 0 1 1
72,07304e029b89fc007bd64b7c9bb52979, 0 0.5556589961051941 846 690 1176 1038
73,074e3cceb0c1677a1ad0dbff31167d7d, 14 0.680581271648407 0 0 1 1 7 0.6134656071662903 473 571 796 779
74,0764ce517782604a7b81bb6e17c798e9, 0 0.5920713543891907 778 613 1072 929
75,0792bb20718b8006f78094ae449c3c96, 0 0.9187883138656616 601 383 779 611
76,0799063103aea263344a77adbde5b7ca, 14 0.9999990463256836 0 0 1 1
77,079de341c7b3804c37114b8da3011b45, 14 0.5906893014907837 0 0 1 1
78,07c1810b7cb0d7ef900ab2b0007784cf, 14 0.5177741646766663 0 0 1 1
79,07cdcea9a6c3049d7a02ade9c680d4d7, 0 0.6648555397987366 656 567 911 843
80,07dcda506753ae678e2cc937f1f8ddf2, 14 0.954856276512146 0 0 1 1
81,07ea0f8d7b7f1fb150c5afb04dc26c9a, 14 0.802185595035553 0 0 1 1
82,07ee04ca7bb66d99ae283ded05f1af76,
83,07ee5d541dcbf1131f0b84aee73d7705, 0 0.7956545352935791 797 503 1099 765
84,07fecb6f57a3d452c4764b1013740141,
85,080fd678b461536e6e1b5d9b17093cdb, 14 0.8080869913101196 0 0 1 1
86,08504fa0ea409654d6328e51de2fb3b9, 0 0.8028952479362488 603 459 824 720
87,08534e46be27043b31a2b648d7c62350,
88,08807797eff7d24d76e4817a3a38477e, 14 1.0 0 0 1 1
89,08cad5510452011e9c519bbbc9741fda, 8 0.6619323492050171 731 620 1033 1072
90,08d6125cda5ffceb8f235c96179a7061, 14 0.9875074028968811 0 0 1 1
91,08e4edc0d35455c8e25a74b9ed3137b0,
92,08ee53ea1825d6e2feffc2a6488f2d7d, 0 0.9165934324264526 695 518 957 781 11 0.6008129715919495 0 0 0 0 13 0.7010728120803833 0 0 0 0
93,090a90ca6e01ed9f613578c95c151a01, 14 1.0 0 0 1 1
94,0919cca5a55ea3b156f45b5cd14fe8d3, 14 0.5125760436058044 0 0 1 1
95,09291f525b50263a1b90764715395311,
96,094d5c1af40f7f565d8d68cf28c06ba5, 14 0.927814245223999 0 0 1 1
97,094eac6e63db15465c6283c090398aa8, 14 0.6281952857971191 0 0 1 1
98,0956d88d67ce080413b1b3ac20ab8622, 14 1.0 0 0 1 1
99,095f8f367727ccd7fc0bf95380399b39,
100,099e4272e7aa6f18b8fa322e1277c6a9, 0 0.7820897698402405 665 537 921 822
101,09b017424bf8f0c76ba99e4f0dfc0019,
102,09defc0d2204d156a38f8391e491e7b2, 0 0.5854283571243286 643 554 891 834
103,09f6d7dd9a59caf6c35604c0d0d2b74b, 0 0.761797308921814 638 519 896 805
104,0a08191a658edb1327e7282045ec71cf, 0 0.7785434126853943 670 510 910 787
105,0a1addecfc432a1b425d61fe57bc29d2,
106,0a2e45455fe2c76ddbbb5f38ab35f6f2, 14 0.8087959289550781 0 0 1 1
107,0a6fd1c1d71ff6f9e0f0afa746e223e4, 14 0.6448156237602234 0 0 1 1
108,0a8dc3de200bc767169b73a6ab91e948, 0 0.9075995683670044 659 516 886 790
109,0aa034371e578904c6789c08e4118733, 14 0.6545261144638062 0 0 1 1
110,0aa43b52e98700f8696bf36c10a76cea, 14 0.9998258948326111 0 0 1 1
111,0aed23e64ebdea798486056b4f174424, 14 0.9999990463256836 0 0 1 1
112,0aee8c95a5c040407100c1b7dda552ef, 14 0.997053861618042 0 0 1 1
113,0af6decdf00b39d4cd1d35466bd3dff9, 0 0.9940611720085144 945 543 1220 846 3 0.6589723825454712 857 859 1362 1182
114,0af8628f5cbe0786db483a10934d1be5, 0 0.5629857182502747 523 427 767 678
115,0b11df4854ce5671a6abcac2c43b0590, 0 0.5410929918289185 911 610 1264 920
116,0b16787b884e51fec691c45ca92c884b, 0 0.6550533771514893 748 602 1031 917
117,0b1f7b86b0ddb459fb779c6d473d96ad, 14 1.0 0 0 1 1
118,0b2105548746dc55aa03324d07e2a2ed,
119,0b2cc81ad04ca2e91f2a8626b645cad8, 0 0.7230490446090698 764 676 1058 1056
120,0b3f7238925b27dfb99c7e53a6db52c7, 0 0.7242842316627502 915 603 1262 923
121,0b4888cfca12e55c3020026d4a0c33a4,
122,0b4e8de571c66cf889f2beb35182974b, 14 0.563214898109436 0 0 1 1
123,0b7b8344c7c39373cfddf21a7339f206,
124,0b877b934aada3284ac13cfa74b5419c, 14 0.9996059536933899 0 0 1 1
125,0b8ec8f17db23936e86de9ca3f36d206,
126,0b9f58b6f12a231738723f4d2dda0312, 0 0.8976120948791504 897 725 1223 1104
127,0bfd35d7f2b63b1ef799fefb18605191, 14 0.934238851070404 0 0 1 1
128,0c0097d1ce174bc3bd6a0268b01ea90f, 14 0.9403079152107239 0 0 1 1
129,0c03e73d43ad216fb293bdb7666439be,
130,0c0b8e98262a662c362929aa60e6bed9,
131,0c15e19c74ef8ddd9bed0a4fc7f4b5a8, 3 0.596813976764679 618 533 889 804 4 0.7189792394638062 547 691 925 978 7 0.8823259472846985 518 502 745 900 8 0.600531280040741 0 0 695 992
132,0c187ebe652499a7e28fd93da2e42ebb, 14 0.9921631217002869 0 0 1 1
133,0c26e997c79d2a3149cf1a62c9444554,
134,0c5bc5fdf756d1251e431c9281349376,
135,0c6036df3708fe77c1c76498240d6774, 14 0.6533527970314026 0 0 1 1
136,0c6f7b76bcc012fc5a9af4470f735aba, 14 0.9733842611312866 0 0 1 1
137,0c785dff51447d6e689e15dcfe10c8e2, 14 0.9999983310699463 0 0 1 1
138,0c803c4810a8c5ec362f5d4504489431, 0 0.7585670351982117 817 643 1120 979
139,0c84dad44979c3a7777a8f4f4d9f5f7a, 0 0.5956462025642395 809 644 1130 998
140,0c8cb29888d314a0a8cfd0f8278af74c, 0 0.6914069652557373 814 651 1121 997
141,0c9ba9fe4ff5e339f3a71d1a58824392, 0 0.8725586533546448 774 617 1075 945
142,0cadc7fd92caf5c27d7ce718d089897d, 14 1.0 0 0 1 1
143,0cbb68610a123b21defa9410699b0bb5,
144,0cc3831c89471998bee7a1fa78d0aa19, 0 0.885791003704071 760 559 1026 867 3 0.5159465670585632 631 846 1081 1156
145,0cc5600e54fe599fefce87de375268e3, 0 0.9251867532730103 662 528 898 799
146,0ccde8751e5952ea6bb047378dcbabba, 0 0.6669535636901855 614 464 860 710
147,0cd194f171015c0eb824a1bd057f440b, 14 0.8504897356033325 0 0 1 1
148,0ce1b656d171e2e760340f29f4a064e9, 0 0.5086159110069275 719 636 1002 956
149,0ce3ae82d1f5c69f253432c5ec47c1be, 0 0.653376042842865 995 669 1395 1021
150,0d0561a5e6379aba13d71e50b6b70747, 3 0.840060830116272 600 394 945 640
151,0d60b79ab9aee1e4687e17fdc56ead06, 0 0.5287410616874695 826 726 1163 1102
152,0d61bab6add9d96f656dbc7ee9d56e23,
153,0d6d426159c634f71eb7fa9bf6f9e84a, 14 0.9999582767486572 0 0 1 1
154,0d825340b08e816f7d8f28c7c7809a31, 0 0.632539689540863 710 493 980 755
155,0d8b5533f40cf4b0c3f2d86b1d61d6bc, 14 0.9898738861083984 0 0 1 1
156,0dc4847520090c7a38b61beb38d28963, 0 0.6008566617965698 731 559 1005 846
157,0dc797718326e05d1decd2996f748fc7,
158,0e033fc78ddfc67dbd8382a8b3198e5a, 0 0.8508515954017639 847 612 1207 918 3 0.9613141417503357 718 884 1278 1204
159,0e109d0f36cc8d66a4cac6bf50de3069, 14 0.718846321105957 0 0 1 1
160,0e2a6f637bc997be18ec30687bdc3762, 14 0.9942065477371216 0 0 1 1
161,0e2bcdee2343352fe40df470e046ea01, 14 0.8435136079788208 0 0 1 1
162,0e302ce9dc207afa54c8661ebdfc9051, 14 0.7638043165206909 0 0 1 1
163,0e36597f559be16b6304f3771082c82a, 0 0.6807049512863159 944 669 1309 1016
164,0e4736c7f5fab2998a3ef0e51fe48953, 0 0.5125962495803833 911 624 1265 960
165,0e48bfb79ac12bbcce9b66cc9f14544c,
166,0e580dda54b8d1df7e3a888c41e69704, 14 0.6627421379089355 0 0 1 1
167,0e5f2fdf49cbfdbe2a7c0861d15a73ff, 0 0.6544305086135864 689 568 939 856
168,0e68445ef76f193664ea018630544d95, 14 1.0 0 0 1 1
169,0e6d7de1c4b73e5a5a12d6a5f20f9711, 0 0.635879397392273 928 688 1296 1045
170,0e7c94db444735ae4b8dfc72ae62ff3e,
171,0e8b4d8bb1a8719e9e8f4755f13e34c4, 14 0.5642585754394531 0 0 1 1
172,0e8d4e702da9eefdbb2696a98006ec55, 14 0.6511915326118469 0 0 1 1
173,0ea56c754d072508fc28428b2f6a0a30, 14 1.0 0 0 1 1
174,0eca5bbff12b841c18d231fc8cda0eeb, 0 0.6053699254989624 665 558 931 844
175,0ecaae458f6ca4c8f4dd9975d62a6fa4, 0 0.7005972266197205 661 478 914 721
176,0ecb6d6e449d5f71b183a6f7fe214c10,
177,0ed15ab15f2304a9a811d7fa6ce843de,
178,0eddd00dffcdacb1c8ac0d0547c545a7, 14 0.9998897314071655 0 0 1 1
179,0ef99f92d68d16b8912cc073731ffad1, 14 1.0 0 0 1 1
180,0f0e0e7e8ab91026bb659e58297b88d5, 0 0.6560395359992981 615 485 840 746
181,0f4fd9b975fc4cc80c28b9539769f8e6, 0 0.7110215425491333 948 614 1280 950
182,0f62d0a08f8d384a1ab5b78e83554e29,
183,0f723c32aa819f9a24aed2fd407e3ff4, 14 0.9611229300498962 0 0 1 1
184,0f8e45ea561be377320632bcb7348f72,
185,0fa816512a0a0342b0cf87fcaa672dab,
186,0fbf80807ef3fdece30d9356a171ae3d, 14 1.0 0 0 1 1
187,0fe282f8066ff835e063ddaaa27e4af7, 14 0.9647635221481323 0 0 1 1
188,100a27b68566d2e53cf8c3822e2c7e30, 14 0.9915762543678284 0 0 1 1
189,100c6c7390eec8d9548306514d80fd53, 0 0.6245865225791931 717 586 1000 893
190,1033a2e669d3f19f68e6c8a2b5085661, 0 0.6344924569129944 626 529 875 800
191,10344d2fdc514205d230de6319408ecd, 14 0.9997712969779968 0 0 1 1
192,104a4ddb44890a3289f04dc395741ef6, 0 0.5905261635780334 852 630 1157 948
193,10cba931b86360874e0905f97737d1f4,
194,10d3204872c83731aeaee57e020b768a, 14 0.9738215804100037 0 0 1 1
195,10fc9d37a7f2808a1c41da80d81a291f, 0 0.7827349305152893 881 709 1220 1081
196,114f3a0eabc40429a50aba292a9147bd,
197,11548ab15b1e24e1daa31af618ef9468,
198,116bad01608f53b0e0a859461b3d5a76,
199,1179e8bc6d3b41207a2140674c5ef1d0, 0 0.7800584435462952 700 509 969 778
200,119a7830be7eaba5f4feb67d1ee9011e, 14 0.6411047577857971 0 0 1 1
201,11b8e52dde21c314c67ead9547b1002a, 0 0.6591928005218506 633 546 879 818 13 0.5205745697021484 0 0 0 0
202,11c92d8711765e3f16b0be225d7d5c03,
203,11ccd9217ba74bcc1021e91024591ba3, 14 0.9999998807907104 0 0 1 1
204,1205221385629d1199a6ed82fff7c18f, 0 0.6327271461486816 636 510 900 781
205,121e650bba0d2537b821fb20bcc0db86, 14 0.9515703320503235 0 0 1 1
206,12202997d3fc0d506d2514a4c1995d15, 0 0.5663660168647766 648 567 916 851
207,12237409e14e5a96605c4fb7613c35a1, 0 0.702308177947998 869 690 1209 1052 3 0.509409487247467 739 963 1265 1340
208,122b52a4ec108c2ed3e934b4abfcaac0,
209,122d5a9f1b5bd22f6ddad0fd5e47c001,
210,1264a14de4ec7c401eaf55b1440e2d20,
211,127c6048347e41fd040ae79d76fdfb3e, 0 0.5870532989501953 822 672 1151 1020
212,127e2784b91becce4ac297255904033e, 0 0.7137793898582458 634 515 886 788
213,12cea68e4b795e545877708c16b8dbdd, 0 0.7382723689079285 622 503 852 764
214,12d5529941b5a673cb50f4e1e8c502de, 14 0.9999815225601196 0 0 1 1
215,12d598be7970fc60aa76bd7c21eef405,
216,12df63c7ee868a1677ba273c3c775476,
217,12e58d45f46e91b639072bd5a86bea3e,
218,12ed43ece0b7bff835c1461a7f501cdb,
219,1310d74e9fdeb707f12ef28daeb3c090,
220,134214ffc7f507842719617ecd5bfc52,
221,13775f4e51c24f0cd01ba11398e2caeb, 14 0.5906217694282532 0 0 1 1
222,13789084b882efd4810ca26dbfff3858, 14 0.6554226875305176 0 0 1 1
223,137ac53870d1ad70a105130b93774949, 0 0.6066527366638184 951 652 1339 1003
224,137f41dd06d51d9d230b6b65740097c2, 14 0.9999997615814209 0 0 1 1
225,13a6d3d468c044807b06e160c0723c33, 14 0.9579896926879883 0 0 1 1 3 0.5789990425109863 462 560 886 883
226,13b9d029ff4c874e22f539c174ae96ff, 13 0.5118749737739563 0 0 0 0
227,13db1898f2d711db4aaf0b2a9a4059cd, 0 0.6866389513015747 937 564 1263 884
228,1417df96cf0ef3878d5be9cbf5b03b0b, 14 0.7587652206420898 0 0 1 1
229,1426d221af945559896985caa24d02a9,
230,14ca70006ecaf4d16690279c2ef6b6d5, 0 0.589779257774353 724 578 995 882
231,14d7ac411bb2c8faf13ae0de31e4cf7a, 14 0.7920465469360352 0 0 1 1
232,14d90cb65cec1138f6bcb97bd7892393, 14 0.9996949434280396 0 0 1 1
233,14da9051525bd2504dd56938f92644ef, 14 0.9998998641967773 0 0 1 1
234,150ae0840d191a04af860941593c5fc5, 14 0.937126874923706 0 0 1 1
235,154dca2bde84a7434044daf0e61c5b69, 0 0.7206968665122986 644 511 893 785
236,158c6d4adf43b8fb9c3c51bd47180e9e,
237,15bb0fd575ecbe78c812dfb4eedd4b77, 0 0.6214337944984436 656 486 916 809
238,15ebe1d755c0b7598be716ef950308d4,
239,15fb0d3878a7df2897e387cdd592577f,
240,15fd19174078e6e85ca8a6521a367ae6, 0 0.6012618541717529 705 588 977 902
241,16351a9a4a8dcf423a92f1b87d181389, 14 0.9999864101409912 0 0 1 1
242,163c884cba35d5d5ca50b7b8ea36a1fa, 14 1.0 0 0 1 1
243,165f2b132c2942833ab8138d48c96800, 14 0.9993556141853333 0 0 1 1
244,16606aa288e909f4defdba599487c365, 0 0.6612611413002014 795 651 1108 981
245,1663ffcf2520d42473b572deb56b2497,
246,16d21d110cfc96417f66e1fef6c7b59c, 0 0.6320253014564514 734 616 1018 922
247,16df71f433fedfbc6c67cc338137d7e4, 14 0.9635105729103088 0 0 1 1
248,16e2409846b221679644329b0b682617, 8 0.5757824778556824 473 383 665 684
249,16eadc24e658018c787bf7dfc30ee144, 14 0.7570227384567261 0 0 1 1
250,16f1811f5ce5fef3f8ef60b2fc675af5, 14 1.0 0 0 1 1
251,16f3b4f52a2cbf5357547ca83cab6caf, 14 0.9986396431922913 0 0 1 1
252,171388f8091a33de18fa9def04b01042, 14 0.7135868072509766 0 0 1 1
253,171dff98d336340bca7e12645e0a5a41, 14 0.6469779014587402 0 0 1 1
254,17201bfb22f098b084c8b355cfc45c97, 0 0.5732442140579224 678 583 955 876
255,173a25467a671ab8f44a8c1e9e02d5e1, 0 0.7292214632034302 843 481 1153 737
256,173f8f59c15a521dc3ea16ee8783159c,
257,17520d7b23b5a393d697ecf139b736fc, 0 0.612323522567749 751 608 1044 913
258,17566869460d2082f1436ffc837f0c2a, 0 0.8203177452087402 633 521 881 791
259,1782aa7185480390105391366e207a8d,
260,1797ac887e393a0e25ebb44b3125f0c1,
261,17cb989569ca6ef46e1066b0cec22304,
262,17d06e7d3f142ebb8f50088b417df79a,
263,17d82f2fa525a8d3b7e868aad6e85d7d, 14 0.9992243051528931 0 0 1 1
264,17df698e956c640c7aad338afb841679,
265,17e37e29b02ef0f01a1e9e5e0c0e9d6e, 14 1.0 0 0 1 1
266,17ead023e20603e9df9f2a3f326b2344, 0 0.7357616424560547 725 564 1036 878
267,17eefd92847c5a56c84990047ab2d5ae,
268,186398ac83152a0870a3c329646e66ae, 14 0.5390732288360596 0 0 1 1
269,1863dc75544ef9c4fed99adc7148d45b,
270,1870fb4ff8d9cd26be7ba8bc7959e4d7, 14 0.6318812370300293 0 0 1 1
271,187b41878d6dfc41488d4f1f379bbdc1, 14 0.7714366316795349 0 0 1 1
272,1887e016e569b354a55e3fb4313def83,
273,18beac8a923ed6b1e08cb5a631a73e76, 0 0.6441364288330078 967 655 1357 996
274,18c93180fe5e1c5658a5d7ad18d7c26f, 14 0.955588161945343 0 0 1 1
275,18d6003908775a049bc2c25e5c68c925,
276,18e12fb03036d68da9f672073967c753, 14 0.9189105033874512 0 0 1 1
277,18f0e2093719a4b98c7e79d4f202b33f,
278,191b17a545a133660df08ad6b228c7ea,
279,19956c66c5528604e1043c766eeba90f, 14 0.5639271140098572 0 0 1 1
280,19c44a83a0b26af42aefbcbf7b9f9380, 0 0.6149283647537231 647 549 917 828
281,19c904c92f411c3bccc89f0024587543,
282,19d24dee80c92094175c10817959c5fa, 0 0.6089648008346558 988 675 1375 1023
283,19e0d6ab0dc61189088d0e149c5871ac, 14 0.6213579177856445 0 0 1 1
284,1a215224bd3e29b6e8e691893181bd21, 14 0.9789942502975464 0 0 1 1
285,1a43b8deb6025a95ea74603d897c95a5,
286,1a43f9283adf717d36e65e0951afc629, 0 0.5437564849853516 876 676 1219 1023
287,1aa1da1bf045b4eea350b501b1548351, 0 0.5628743767738342 982 649 1338 989
288,1aa44e88c12853c45ac703f24309ac3e,
289,1aa707b195e1f6efffd8c17ca926eeef, 0 0.7212188839912415 822 669 1142 999 7 0.5473304986953735 745 905 1205 1167
290,1aac6d9d0a45609aa2771e91e59451da, 0 0.6655216217041016 1005 677 1385 1028
291,1abf74c3876f61b3e19194846043e889, 14 1.0 0 0 1 1
292,1ac0078bcb5550b9dc4f0dbfade6eb4d, 0 0.5018759369850159 763 622 1046 951
293,1b13d20e122a770f28228027f03a010c,
294,1b26be04540ce7c6b0618a57cb295d13, 0 0.5650237798690796 712 617 1001 938
295,1b2df8b1ebcd4cf26b828e96dd54304a, 14 0.7159907817840576 0 0 1 1
296,1b3810d022fb64d409d7d579f7739b14, 14 0.9219908118247986 0 0 1 1
297,1b3e916aa92b328e17f24d1c892cb749,
298,1b4407d5e1e9ec1e602c75fc80b7b001, 14 0.9943654537200928 0 0 1 1
299,1b6a707131f787fe37d3ea40d2011d43, 14 1.0 0 0 1 1
300,1b78d27f9d6dbeb9296c6b610262c95e, 9 0.5362048745155334 0 0 849 1092
301,1bd17c03a70dbb1e8f4723d5aacb1e52, 14 0.6873610615730286 0 0 1 1 6 0.6773227453231812 353 290 595 639
302,1bffe6caf3de56fc4ffcf7ce4176e757, 0 0.6937412023544312 629 529 874 799
303,1c04f08e163f0fdb38461013b2f6f9b9, 0 0.868329644203186 675 537 930 815
304,1c0edcab874f51772ec86ac6405a0a69, 13 0.6062536239624023 0 0 0 0
305,1c146ccd983da39b62f2e2d9857e8d2a, 0 0.617172360420227 666 569 943 862
306,1c23c0b48f19721b171febe638673eec, 14 0.9665713310241699 0 0 1 1
307,1c2898a294e3a212280feeac16396e7c, 0 0.6248619556427002 668 556 934 849
308,1c41827efd6e236f8b05c6524f1a43c3,
309,1ca15cd9835324d8a30bd20544a9cab8, 14 0.8141215443611145 0 0 1 1
310,1ca5675a7a3042ccb0334a42d14d145f, 14 0.9999462366104126 0 0 1 1
311,1cc1ed63475e99d32f1884762955effc,
312,1ccc9029a1f9a8cb57a4913a7c239acc,
313,1cd859e3b7a6ea36735fa06b03fcbdd7, 0 0.8924720287322998 624 449 827 695 2 0.5872136950492859 504 655 862 895 3 0.5372224450111389 476 470 749 857 13 0.5873062014579773 0 0 0 0
314,1d12b94b7acbeadef7d7700b50aa90d4, 0 0.8693579435348511 794 582 1079 869 2 0.5048319697380066 690 781 1123 1064 11 0.6012944579124451 0 0 0 0 13 0.7201106548309326 0 0 0 0
315,1d1fcf6654f7d727aafae5c5eba5fd7f, 14 0.9465007185935974 0 0 1 1
316,1d6476853a2aaaf281c1be2e2584e383, 14 0.7845702767372131 0 0 1 1
317,1da78a23d8738003d24bdeb4a47c07ba,
318,1db20acd44b0e120b91f137a46da1ff6, 0 0.9074217081069946 958 625 1301 926
319,1ddd49f2867bac4430aaad6d35445a61, 0 0.7452725172042847 642 543 896 824
320,1deb5e6595022e9cad8cb8fb00863e8f, 14 0.743757426738739 0 0 1 1
321,1deeb557e49b03764d434bad3c7bdd35, 14 0.9999995231628418 0 0 1 1
322,1e2a07154cad985c88bf3668850c3587,
323,1e335e2b51bd598406b39b4f3974ea79,
324,1e3741152ae10349083bdf40ef01789e,
325,1e3fadece3c8d4259c2b5a7de61e12ef, 0 0.8526225686073303 738 456 1022 794
326,1e4029a54dd47b7223885e14cc0e020f, 14 0.9971442818641663 0 0 1 1
327,1e41c551c741b13ef41f540a6428058b, 0 0.8983363509178162 695 598 975 907
328,1e56d718a35fc14e4461717c9664c4c2,
329,1e5df6a5f0edfdce728581219123811f,
330,1e87b2befde0db02bf14e75e798e4269,
331,1eb469f4d7f3c627bd265a57dbbf91b4, 0 0.6339654922485352 795 649 1094 986
332,1ee597e9da780a7c2e68a78fdaae42fc, 14 0.8211880922317505 0 0 1 1
333,1f2238036d246a568553191ed099c1e3, 0 0.5317986011505127 688 590 959 882
334,1fad8a04142b39fb650138dc933334b3,
335,1fae839a73abec3f3d7436fa2bce4630, 4 0.8399184346199036 0 13 141 410
336,1fcc1cd57e0ce38aa0b72b3a6996015a,
337,1fd9d5d1bb0ce0f60396950f07270c09, 14 0.5055363178253174 0 0 1 1
338,1fffff933eea7cb619d35e5ae18920d5, 0 0.613415539264679 618 507 851 771
339,20085587273eae1d4ea461ee23b18fe3,
340,2021c6c746096cd28002e71ceb992c69, 14 0.623285710811615 0 0 1 1
341,202dc97c4b3ec7e50f4813456938500a, 0 0.639448344707489 634 517 883 782
342,203e51fe440b4468f4142d795d381cb4, 14 0.5720362067222595 0 0 1 1
343,204c690fdc9b400342f9b5a271523bfe,
344,2051a04c05ac229fd9a1f16a4a493f64, 0 0.7770023941993713 1044 678 1419 1035
345,20614fb1b38f8b6d81830b92068b19e7, 14 0.7159757614135742 0 0 1 1
346,206a3bdb39970f971f505da837a5bfd4, 0 0.9098623394966125 679 516 924 800
347,20a92721508c6b74dac74143d3221152, 14 0.7051851153373718 0 0 1 1 3 0.5000308752059937 508 602 1014 864
348,20adb39b3684a4a5315c6c07c11f6a85,
